000,Cacophony,Avoids sound-based moves.,II,0,0,0
000,Cacophony,Avoids sound-based moves.,II,0,0,0
001,Stench,The stench may cause the target to flinch.,III,0,6,1
002,Drizzle,The Pokémon makes it rain if it appears in battle.,III,1,0,1
003,Speed Boost,The Pokémon's Speed stat is gradually boosted.III,2,2,8
004,Battle Armor,The Pokémon is protected against critical hits.,III,2,4,2
005,Sturdy,The Pokémon is protected against 1-hit KO attacks.,III,8,22,6
006,Damp,Prevents combatants from self destructing.,III,0,8,10
007,Limber,The Pokémon is protected from paralysis.,III,1,7,2
008,Sand Veil,Boosts the Pokémon's evasion in a sandstorm.,III,7,6,7
009,Static,Contact with the Pokémon may cause paralysis.,III,9,5,1
010,Volt Absorb,Restores HP if hit by an Electric-type move.,III,2,2,3
011,Water Absorb,Restores HP if hit by a Water-type move.,III,2,12,8
012,Oblivious,Prevents the Pokémon from becoming infatuated or falling for taunts.,III,0,17,3
013,Cloud Nine,Eliminates the effects of weather.,III,0,2,4
014,Compound Eyes,The Pokémon's accuracy is boosted.,III,2,6,1
015,Insomnia,Prevents the Pokémon from falling asleep.,III,1,10,3
016,Color Change,Changes the Pokémon's type to the foe’s move.,III,1,0,0
017,Immunity,Prevents the Pokémon from getting poisoned.,III,1,1,1
018,Flash Fire,Powers up Fire-type moves if hit by a fire move.,III,4,10,4
019,Shield Dust,Blocks the added effects of attacks taken.,III,4,3,0
020,Own Tempo,Prevents the Pokémon from becoming confused.,III,0,15,5
021,Suction Cups,Negates moves that force switching out.,III,2,3,0
022,Intimidate,Lowers the foe’s Attack stat.,III,7,19,3
023,Shadow Tag,Prevents the foe from escaping.,III,3,0,3
024,Rough Skin,Inflicts damage to the foe on contact.,III,2,1,3
025,Wonder Guard,Only supereffective moves will hit.,III,1,0,0
026,Levitate,Gives full immunity to all Ground-type moves.,III,31,2,0
027,Effect Spore,Contact may paralyze, poison, or cause sleep.,III,2,4,1
028,Synchronize,Passes on a burn, poison, or paralysis to the foe.,III,3,12,0
029,Clear Body,Prevents the Pokémon's stats from being lowered.,III,8,2,3
030,Natural Cure,All status problems are healed upon switching out.,III,4,11,0
031,Lightning Rod,The Pokémon draws in all Electric-type moves to raise Sp.Atk.,III,2,9,6
032,Serene Grace,Boosts the likelihood of added effects appearing.,III,3,7,2
033,Swift Swim,Boosts the Pokémon's Speed in rain.,III,8,21,10
034,Chlorophyll,Boosts the Pokémon's Speed in sunshine.,III,10,19,6
035,Illuminate,Raises the likelihood of meeting wild Pokémon.,III,0,6,0
036,Trace,The Pokémon copies a foe's Ability.,III,1,5,0
037,Huge Power,Raises the Pokémon's Attack stat.,III,1,3,2
038,Poison Point,Contact with the Pokémon may poison the foe.,III,0,16,0
039,Inner Focus,The Pokémon is protected from flinching.,III,5,16,6
040,Magma Armor,Prevents the Pokémon from becoming frozen.,III,0,3,0
041,Water Veil,Prevents the Pokémon from getting a burn.,III,0,4,7
042,Magnet Pull,Prevents Steel-type Pokémon from escaping.,III,0,5,0
043,Soundproof,Gives full immunity to all sound-based moves.,III,3,4,5
044,Rain Dish,The Pokémon gradually recovers HP in rain.,III,0,3,8
045,Sand Stream,The Pokémon summons a sandstorm in battle.,III,3,0,0
046,Pressure,The Pokémon raises the foe’s PP usage.,III,19,2,4
047,Thick Fat,Raises resistance to Fire- and Ice-type moves.,III,1,16,5
048,Early Bird,The Pokémon awakens quickly from sleep.,III,0,13,2
049,Flame Body,Contact with the Pokémon may burn the foe.,III,7,5,4
050,Run Away,Enables sure getaway from wild Pokémon.,III,0,16,8
051,Keen Eye,Prevents the Pokémon from losing accuracy.,III,4,22,5
052,Hyper Cutter,Prevents the Attack stat from being lowered.,III,0,9,0
053,Pickup,The Pokémon may pick up items.,III,1,14,0
054,Truant,The Pokémon can't attack on consecutive turns.,III,2,0,1
055,Hustle,Boosts the Attack stat, but lowers accuracy.,III,3,7,8
056,Cute Charm,Contact with the Pokémon may cause infatuation.,III,1,11,1
057,Plus,Boosts Sp. Atk if another Pokémon has Minus.,III,1,3,4
058,Minus,Boosts Sp. Atk if another Pokémon has Plus.,III,1,3,2
059,Forecast,Transforms with the weather.,III,1,0,0
060,Sticky Hold,Protects the Pokémon from item theft.,III,0,8,0
061,Shed Skin,The Pokémon may heal its own status problems.,III,11,5,0
062,Guts,Boosts Attack if there is a status problem.,III,3,14,4
