0,Name,Type,Category,0,0,0
1,Pound,Normal,Physical,35,35,100
2,Karate Chop,Fighting,Physical,25,25,100
3,Double Slap,Normal,Physical,10,10,85
4,Comet Punch,Normal,Physical,15,15,85
5,Mega Punch,Normal,Physical,20,20,85
6,Pay Day,Normal,Physical,20,20,100
7,Fire Punch,Fire,Physical,15,15,100
8,Ice Punch,Ice,Physical,15,15,100
9,Thunder Punch,Electric,Physical,15,15,100
10,Scratch,Normal,Physical,35,35,100
11,Vice Grip,Normal,Physical,30,30,100
12,Guillotine,Normal,Physical,5,5,100
13,Razor Wind,Normal,Special,10,10,100
14,Swords Dance,Normal,Status,20,20,100
15,Cut,Normal,Physical,30,30,95
16,Gust,Flying,Special,35,35,100
17,Wing Attack,Flying,Physical,35,35,100
18,Whirlwind,Normal,Status,20,20,100
19,Fly,Flying,Physical,15,15,95
20,Bind,Normal,Physical,20,20,85
21,Slam,Normal,Physical,20,20,75
22,Vine Whip,Grass,Physical,25,25,100
23,Stomp,Normal,Physical,20,20,100
24,Double Kick,Fighting,Physical,30,30,100
25,Mega Kick,Normal,Physical,5,5,75
26,Jump Kick,Fighting,Physical,10,10,95
27,Rolling Kick,Fighting,Physical,15,15,85
28,Sand Attack,Ground,Status,15,15,100
29,Headbutt,Normal,Physical,15,15,100
30,Horn Attack,Normal,Physical,25,25,100
31,Fury Attack,Normal,Physical,20,20,85
32,Horn Drill,Normal,Physical,5,5,100
33,Tackle,Normal,Physical,35,35,100
34,Body Slam,Normal,Physical,15,15,100
35,Wrap,Normal,Physical,20,20,90
36,Take Down,Normal,Physical,20,20,85
37,Thrash,Normal,Physical,10,10,100
38,Double-Edge,Normal,Physical,15,15,100
39,Tail Whip,Normal,Status,30,30,100
40,Poison Sting,Poison,Physical,35,35,100
41,Twineedle,Bug,Physical,20,20,100
42,Pin Missile,Bug,Physical,20,20,95
43,Leer,Normal,Status,30,30,100
44,Bite,Dark,Physical,25,25,100
45,Growl,Normal,Status,40,40,100
46,Roar,Normal,Status,20,20,100
47,Sing,Normal,Status,15,15,55
48,Supersonic,Normal,Status,20,20,55
49,Sonic Boom,Normal,Special,20,20,90
50,Disable,Normal,Status,20,20,100
51,Acid,Poison,Special,30,30,100
52,Ember,Fire,Special,25,25,100
53,Flamethrower,Fire,Special,15,15,100
54,Mist,Ice,Status,30,30,100
55,Water Gun,Water,Special,25,25,100
56,Hydro Pump,Water,Special,5,5,80
57,Surf,Water,Special,15,15,100
58,Ice Beam,Ice,Special,10,10,100
59,Blizzard,Ice,Special,5,5,70
60,Psybeam,Psychic,Special,20,20,100
61,Bubble Beam,Water,Special,20,20,100
62,Aurora Beam,Ice,Special,20,20,100
63,Hyper Beam,Normal,Special,5,5,90
64,Peck,Flying,Physical,35,35,100
65,Drill Peck,Flying,Physical,20,20,100
66,Submission,Fighting,Physical,25,25,80
67,Low Kick,Fighting,Physical,20,20,100
68,Counter,Fighting,Physical,20,20,100
69,Seismic Toss,Fighting,Physical,20,20,100
70,Strength,Normal,Physical,15,15,100
71,Absorb,Grass,Special,25,25,100
72,Mega Drain,Grass,Special,15,15,100
73,Leech Seed,Grass,Status,10,10,90
74,Growth,Normal,Status,20,20,100
75,Razor Leaf,Grass,Physical,25,25,95
